State_Name,Pct_Production
Uttar Pradesh,12.0
Punjab,11.0
Madhya Pradesh,8.2
Rajasthan,7.8
Maharashtra,8.2
Andhra Pradesh,5.0
West Bengal,5.3
Tamil Nadu,5.2
Gujarat,5.1
Karnataka,5.0
Bihar,4.6
Haryana,4.4
Telangana,2.2
Chhattisgarh,2.3
Odisha,2.2
Assam,2.3
Kerala,2.1
Jharkhand,2.0
Himachal Pradesh,1.2
Jammu and Kashmir,1.1
Uttarakhand,1.0
Goa,0.2
Sikkim,0.2
Arunachal Pradesh,0.2
Meghalaya,0.2
Nagaland,0.2
Manipur,0.2
Tripura,0.2
Mizoram,0.2
Andaman and Nicobar Islands,0.1
Lakshadweep,0.1
Dadra and Nagar Haveli,0.0
Delhi,0.0
Puducherry,0.0
Daman and Diu,0.0
Chandigarh,0.0
Ladakh,0.0